Papel,Cotacao,ReceitaLiquida
CELP7,"6,05",1.460.230.000
CEPE3,"24,53",0
CEPE5,"26,00",0
CEPE6,"17,46",0
CESP3,"32,40",414.466.000
CESP4,"16,29",414.466.000
CESP5,"32,00",414.466.000
CESP6,"32,80",414.466.000
CFLU4,"1.000,00",44.806.000
CGAS3,"142,87",2.585.530.000
CGAS5,"144,44",2.585.530.000
CGOS3,"26,20",435.613.000
CGOS4,"16,00",435.613.000
CGRA3,"28,47",113.706.000
CGRA4,"29,75",113.706.000
CIEL3,"8,46",1.254.080.000
CIQU3,"12,49",211.265.000
CIQU4,"12,49",211.265.000
CLAN3,"0,00",4.309.000
CLAN4,"3,00",4.309.000
CLSC3,"47,99",2.027.130.000
CLSC4,"49,98",2.027.130.000
CLSC5,"39,01",2.027.130.000
CLSC6,"0,00",2.027.130.000
CMET4,"3,91",1.131.320.000
CMIG3,"15,67",6.070.790.000
CMIG4,"13,73",6.070.790.000
CMMA4,"0,81",0
CNFB4,"5,99",340.402.000
CNTO3,"37,97",621.003.000
COCE3,"52,00",1.339.110.000
COCE5,"63,00",1.339.110.000
COCE6,"35,00",1.339.110.000
COGN3,"12,15",1.515.760.000
CORR3,"12,00",771.000
CORR4,"70,00",771.000
CPFE3,"34,99",7.746.480.000
CPFG3,"12,65",911.986.000
CPFG4,"12,26",911.986.000
CPFP4,"44,00",1.108.670.000
CPLE3,"72,00",4.253.720.000
CPLE5,"27,51",4.253.720.000
CPLE6,"68,63",4.253.720.000
CPNY3,"2,35",299.654.000
CPRE3,"18,15",599.056.000
CPSL3,"38,02",2.081.160.000
CRBM3,"90,00",576.655.000
CRBM7,"60,00",576.655.000
CRDE3,"34,80",378.000
CREM3,"14,50",193.036.000
CREM4,"48,00",193.036.000
CRFB3,"24,55",14.683.000.000
CRIV3,"6,45",
CRIV4,"6,99",
CRPG3,"28,05",145.109.000
CRPG5,"25,26",145.109.000
CRPG6,"24,96",145.109.000
CRTP3,"86,50",290.013.000
CRTP5,"62,10",290.013.000
CRUZ3,"27,59",1.543.160.000
CSAB3,"49,90",0
CSAB4,"43,50",0
CSAN3,"73,10",3.343.280.000
CSMG3,"68,39",1.333.490.000
CSNA3,"14,58",6.006.390.000
CSPC3,"1,24",1.654.490.000
CSPC4,"1,20",1.654.490.000
CSRN3,"18,70",0
CSRN5,"18,00",0
CSRN6,"17,06",0
CSTB3,"150,00",1.047.730.000
CSTB4,"147,69",1.047.730.000
CTIP3,"49,50",343.520.000
CTKA3,"10,80",80.423.000
CTKA4,"12,80",80.423.000
CTNM3,"11,40",496.693.000
CTNM4,"10,03",496.693.000
CTPC3,"0,20",0
